Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Ursus arctos|Brown Bear|6|Colorado,Idaho,Montana,Utah,Washington,Wyoming|5|California,Colorado,Idaho,Montana,Washington|Mammals
Vulpes macrotis|Kit Fox|6|California,Colorado,Idaho,Nevada,Oregon,Utah|5|Arizona,California,Colorado,Oregon,Utah|Mammals
Ziphius cavirostris|goose-beaked whale|6|Alaska,American Samoa,Guam,Hawaii,Puerto Rico,Texas|5|American Samoa,Guam,Hawaii,Maryland,Texas|Mammals
Cynomys gunnisoni|Gunnison's Prairie Dog|4|Arizona,Colorado,New Mexico,Utah|4|Arizona,Colorado,New Mexico,Utah|Mammals
Eubalaena japonica|North Pacific Right Whale|1|Hawaii|4|Alaska,California,Hawaii,Washington|Mammals
Idionycteris phyllotis|Allen's big-eared bat|5|California,Colorado,Nevada,New Mexico,Utah|4|Arizona,Colorado,Nevada,Utah|Mammals
Kogia breviceps|Pygmy Sperm Whale|6|Florida,Guam,Hawaii,Puerto Rico,South Carolina,Texas|4|Guam,Hawaii,South Carolina,Texas|Mammals
Lepus californicus|black-tailed jack rabbit|5|Arkansas,Missouri,Montana,Nebraska,Washington|4|Arkansas,Missouri,Nebraska,Washington|Mammals
Microtus montanus|Montane Vole|3|Arizona,Nevada,New Mexico|4|Arizona,Nevada,New Mexico,Utah|Mammals
Myotis velifer|cave myotis|3|California,Nevada,Texas|4|Arizona,California,Nevada,Texas|Mammals
Nyctinomops macrotis|big free-tailed bat|5|Arizona,California,Nevada,Texas,Utah|4|California,Colorado,Texas,Utah|Mammals
Ondatra zibethicus|Muskbeaver|5|Arizona,Connecticut,Illinois,Ohio,Vermont|4|Connecticut,District of Columbia,Maine,Vermont|Mammals
Oryzomys palustris|Marsh Rice Rat|5|Florida,Illinois,Missouri,New Jersey,Oklahoma|4|Florida,Illinois,Missouri,New Jersey|Mammals
Panthera onca|Jaguar|1|Arizona|4|Arizona,California,New Mexico,Texas|Mammals
Pekania pennanti pennanti|Fisher|8|Idaho,Montana,North Carolina,Ohio,Oregon,Tennessee,Virginia,Wyoming|4|New Jersey,Tennessee,Virginia,Wyoming|Mammals
Peromyscus gossypinus|Cotton Mouse|6|Florida,Illinois,Kentucky,Missouri,North Carolina,Virginia|4|Florida,Kentucky,Missouri,Virginia|Mammals
Puma concolor couguar|eastern cougar|7|California,Florida,Louisiana,Mississippi,New York,North Carolina,Ohio|4|Florida,Georgia,Mississippi,Vermont|Mammals
Sorex longirostris|Southeastern Shrew|5|Arkansas,Florida,Louisiana,Maryland,Tennessee|4|Arkansas,Louisiana,Maryland,Tennessee|Mammals
Stenella coeruleoalba|Striped Dolphin|3|Guam,Hawaii,Puerto Rico|4|American Samoa,Guam,Hawaii,New Jersey|Mammals
Tamiasciurus hudsonicus|Red Squirrel|5|Georgia,Illinois,Iowa,Ohio,Tennessee|4|Alaska,Georgia,Illinois,Tennessee|Mammals
